               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.059092,            0.040056,           0.0051259,             0.72358,             0.83333,             0.85429,             0.61171,            0.040976,            0.033149,           0.0035563,            0.008119,            0.008119,            0.008119
                  59,            0.060696,            0.039167,           0.0052128,             0.89367,             0.72222,             0.87881,             0.47873,            0.047893,            0.034025,           0.0031748,            0.008086,            0.008086,            0.008086
                  60,            0.059322,            0.039326,           0.0058338,             0.62542,             0.83333,             0.84004,             0.53445,            0.045072,            0.033243,           0.0030289,            0.008053,            0.008053,            0.008053
                  61,            0.059003,            0.038404,           0.0058709,             0.68319,             0.83333,             0.87954,             0.63687,            0.043325,            0.032333,           0.0027714,             0.00802,             0.00802,             0.00802
                  62,            0.056734,            0.039103,           0.0052507,             0.55275,             0.83333,             0.81776,             0.46283,            0.050033,            0.035384,           0.0026002,            0.007987,            0.007987,            0.007987
                  63,            0.060034,            0.042588,           0.0052294,             0.64236,             0.83333,             0.84015,             0.49255,            0.046989,            0.034686,            0.003089,            0.007954,            0.007954,            0.007954
                  64,            0.058854,             0.04232,           0.0052197,             0.78089,             0.81111,             0.79585,             0.51902,            0.043844,            0.033846,           0.0031824,            0.007921,            0.007921,            0.007921
                  65,            0.054875,            0.036593,           0.0046484,             0.73341,             0.78367,              0.7656,             0.41162,            0.047035,            0.034475,           0.0032969,            0.007888,            0.007888,            0.007888
                  66,            0.058209,            0.040295,           0.0060808,             0.63532,             0.94169,             0.92183,             0.56253,            0.040306,            0.034557,           0.0034304,            0.007855,            0.007855,            0.007855
                  67,            0.057207,            0.035998,           0.0042702,             0.38338,             0.83333,             0.75721,             0.50659,            0.042391,            0.035901,           0.0037632,            0.007822,            0.007822,            0.007822
                  68,            0.058193,            0.039011,           0.0041929,              0.9297,             0.55556,             0.76981,             0.51447,            0.042979,            0.036362,           0.0041275,            0.007789,            0.007789,            0.007789
                  69,            0.055381,            0.039452,           0.0060211,             0.90693,             0.55127,             0.61251,             0.41528,            0.049753,            0.038376,           0.0047903,            0.007756,            0.007756,            0.007756
                  70,            0.055725,            0.044811,           0.0038287,             0.91961,             0.49694,             0.59896,             0.43206,            0.043786,            0.039518,           0.0046229,            0.007723,            0.007723,            0.007723
                  71,            0.052668,            0.036464,            0.004643,             0.81866,             0.44687,             0.60195,             0.45179,            0.048683,            0.038725,           0.0041909,             0.00769,             0.00769,             0.00769
                  72,            0.058643,            0.034416,           0.0048943,             0.95531,             0.48269,              0.7348,             0.57485,            0.046698,            0.038019,           0.0037618,            0.007657,            0.007657,            0.007657
                  73,            0.055017,            0.036637,           0.0037361,             0.90189,             0.51111,             0.74454,             0.58063,            0.043958,            0.036403,           0.0037727,            0.007624,            0.007624,            0.007624
                  74,            0.059672,            0.038052,            0.004387,             0.90403,             0.53333,             0.76216,             0.56191,            0.046107,            0.038099,           0.0041375,            0.007591,            0.007591,            0.007591
                  75,             0.05822,            0.036641,           0.0041852,             0.85513,             0.57828,             0.77406,             0.56366,            0.045705,            0.038382,           0.0042663,            0.007558,            0.007558,            0.007558
                  76,            0.055563,            0.039051,           0.0037374,             0.91139,             0.60459,             0.78232,             0.61047,            0.045057,            0.036873,           0.0044432,            0.007525,            0.007525,            0.007525
                  77,            0.055359,             0.03916,           0.0047468,              0.7365,             0.57778,             0.56008,             0.41303,            0.046434,            0.039608,           0.0046892,            0.007492,            0.007492,            0.007492
                  78,            0.054854,            0.035675,           0.0042856,             0.88014,             0.61701,             0.60331,             0.40882,            0.047309,            0.039531,           0.0050321,            0.007459,            0.007459,            0.007459
                  79,            0.056326,            0.037721,           0.0051884,             0.86135,             0.64444,             0.60046,             0.33394,            0.049705,            0.039621,            0.005106,            0.007426,            0.007426,            0.007426
                  80,            0.053931,            0.035938,           0.0044042,               0.861,              0.6259,             0.60126,             0.34464,            0.049678,            0.038374,           0.0046463,            0.007393,            0.007393,            0.007393
                  81,             0.05482,            0.039322,           0.0045652,             0.90028,             0.57778,             0.60161,              0.3547,            0.048238,            0.039586,           0.0050321,             0.00736,             0.00736,             0.00736
                  82,            0.052861,            0.037329,           0.0054755,             0.88444,             0.57778,             0.59888,             0.41793,            0.041796,            0.038725,           0.0038691,            0.007327,            0.007327,            0.007327
                  83,            0.052762,            0.040053,           0.0050231,             0.92965,             0.53333,             0.61407,              0.4576,            0.042732,            0.039332,           0.0035133,            0.007294,            0.007294,            0.007294
                  84,            0.054849,             0.04107,           0.0036119,             0.77826,             0.62222,             0.57714,             0.38169,             0.05031,            0.038029,           0.0031252,            0.007261,            0.007261,            0.007261
                  85,            0.054877,            0.036434,           0.0039927,             0.89494,             0.62222,             0.83853,             0.59725,            0.038142,            0.034217,           0.0029979,            0.007228,            0.007228,            0.007228
                  86,            0.051595,             0.03458,           0.0032009,             0.64841,             0.83333,             0.89007,             0.64648,            0.041947,            0.031806,           0.0027595,            0.007195,            0.007195,            0.007195
                  87,            0.059299,            0.043124,           0.0033817,             0.46846,             0.83333,             0.83181,             0.61155,            0.036448,            0.033462,           0.0027847,            0.007162,            0.007162,            0.007162
                  88,            0.054611,            0.036924,           0.0037928,             0.96392,             0.55556,             0.64253,             0.42222,            0.036237,            0.034704,            0.003068,            0.007129,            0.007129,            0.007129
                  89,            0.053115,            0.038336,           0.0035942,             0.94446,              0.5769,             0.76942,             0.54936,            0.036275,            0.032702,            0.002789,            0.007096,            0.007096,            0.007096
                  90,            0.051316,            0.036081,           0.0034478,             0.94431,             0.64444,             0.75974,             0.57259,            0.035483,            0.031807,           0.0024157,            0.007063,            0.007063,            0.007063
